message,userId,startTime,endTimeStamp
"Visitor: Initial Dialog

 Bot: Hi. How can I help you today? Are you looking for a job or looking to hire?
 Hire
 Look for a job

 Visitor: Hire Talent

 Bot: OK. I can help you:
 Talk to an agent about hiring
 Find hiring FAQs
 Other

 Visitor: FAQs Topics

 Bot: OK. I can find you information on:
 Working with Robert Half
 Finding talent
 Timesheets or payroll
 Other

 Visitor: CandidateMenuIntent

 Bot: OK. I can help you:
 Search open jobs
 Submit a resume
 Find employment FAQs
 Other

 Visitor: Search Jobs

 Bot: I need a little information to find the best open jobs for you.

Please enter a job title, skills, or other keywords.

 Visitor: Washing Machine

 Bot: What's the location you’d like to work in? Please provide ZIP code or city and state (Example: New York, NY).

 Visitor: 94583

 
",u-3e7122f8-b187-5c19-9caf-3b75d4cd4727,2018-05-24T11:53:25 EST,2018-05-24T18:25:13 EST
"Visitor: Initial Dialog

 Bot: Hi. How can I help you today? Are you looking for a job or looking to hire?
 Hire
 Look for a job

 Visitor: RESUME_SUBMITTED_JOBAPPLY

 Visitor: RESUME_SUBMITTED_JOBAPPLY

 Visitor: RESUME_SUBMITTED_JOBAPPLY

 Visitor: JOBSEARCH_MATCHFOUND_YES

 Bot: Would you like to be notified when new job openings like this are posted in your area?
 Yes
 No

 Visitor: JOBSEARCH_MATCHFOUND_YES

 Bot: Can I help you with anything else?
 Yes
 No

 Visitor: RESUME_SUBMITTED_JOBAPPLY

 Visitor: RESUME_SUBMITTED_JOBAPPLY

 Visitor: RESUME_SUBMITTED_JOBAPPLY

",u-4b80bded-ff7f-5523-bc6f-d13ea86dff07,2018-05-24T17:46:47 EST,2018-05-24T17:55:20 EST
"Visitor: JOBSEARCH_MATCHFOUND_YES

 Visitor: Initial Dialog

 Bot: Hi. How can I help you today? Are you looking for a job or looking to hire?
 Hire
 Look for a job

 Visitor: Hi

 Bot: Hi there!

 Visitor: I'm looking for entry level paralegal course

 Bot: I need a little information to find the best open jobs for you.

Please enter a job title, skills, or other keywords.

 Visitor: I'm pursuing paralegal course at Queens College

 Bot: What's the location you’d like to work in? Please provide ZIP code or city and state (Example: New York, NY).

 Visitor: NY

 
 Visitor: JOBSEARCH_MATCHFOUND_YES

 Bot: I found some jobs in your area. Click the Read More link for a specific position to apply.

 Visitor: Where is the link?

 Bot: Please give me a brief summary of what you need help with.

 Visitor: I submitted my resume 15 days back

 Bot: Please enter your email address and I'll transfer you to someone who can help.

 Visitor: jadejajaysinh@gmail.com

 Bot: I'm connecting you to someone who can help.

 
 Bot: Hello. My name is Kyrie. How can I help you today?

 Visitor: Hi

 Bot: Hello, how may I assist you?

 Visitor: I'm looking for entry level paralegal job

 Bot: Have you uploaded your resume?

 Visitor: Ys

 Visitor: 15-20 days back

 Visitor: Bt have not heard from you

 Bot: Usually, a candidate applies for a job or uploads their resume. If their skills are a potential match for an open position, a staffing professional will reach out to them with more information. Since you have already submitted a resume, You can search jobs here: https://www.roberthalf.com/jobs/

 Visitor: Ok

 Bot: Can I help you with anything else?

 Visitor: #session_closed

 
 Visitor: #session_closed

",u-c633d1c0-128a-54db-90e5-79ae2aefff1b,2018-05-24T17:47:56 EST,2018-05-24T17:54:48 EST
"Visitor: Initial Dialog

 Bot: Hi. How can I help you today? Are you looking for a job or looking to hire?
 Hire
 Look for a job

 Visitor: CandidateMenuIntent

 Bot: OK. I can help you:
 Search open jobs
 Submit a resume
 Find employment FAQs
 Other

 Visitor: Submit A Resume

 
 Visitor: RESUME_SUBMITTED

 Bot: Thank you for uploading your resume.

 Bot: Would you like to be notified when new job openings like this are posted in your area?
 Yes
 No

 Visitor: Yes

 
 Visitor: #session_closed

",u-748152e7-0234-5da5-8aac-b592f0a3cb7c,2018-05-24T17:30:02 EST,2018-05-24T17:32:48 EST
"Visitor: Initial Dialog

 Bot: Hi. How can I help you today? Are you looking for a job or looking to hire?
 Hire
 Look for a job

 Visitor: RESUME_SUBMITTED_JOBAPPLY

 Visitor: CandidateMenuIntent

 Bot: OK. I can help you:
 Search open jobs
 Submit a resume
 Find employment FAQs
 Other

 Visitor: Search Jobs

 Bot: I need a little information to find the best open jobs for you.

Please enter a job title, skills, or other keywords.

 Visitor: Legal Intellectual Property

 Bot: What's the location you’d like to work in? Please provide ZIP code or city and state (Example: New York, NY).

 Visitor: NY

 
 Visitor: JOBSEARCH_MATCHFOUND_YES

 Bot: I found some jobs in your area. Click the Read More link for a specific position to apply.

 Visitor: #session_closed

",u-4eb6b43d-2feb-521f-b1f5-273b9b5a27ca,2018-05-24T17:39:28 EST,2018-05-24T17:41:03 EST
"Visitor: JOBSEARCH_MATCHFOUND_YES

 Visitor: Initial Dialog

 Bot: Hi. How can I help you today? Are you looking for a job or looking to hire?
 Hire
 Look for a job

 Visitor: #session_closed

",u-c8baecd9-e857-54f7-8574-c22e9b866219,2018-05-24T17:44:15 EST,2018-05-24T17:44:17 EST
"Visitor: Initial Dialog

 Bot: Hi. How can I help you today? Are you looking for a job or looking to hire?
 Hire
 Look for a job

 Visitor: RESUME_SUBMITTED_JOBAPPLY

 Visitor: #session_closed

",u-c55b0741-2f28-5c2c-b5ad-4ebd01afd90b,2018-05-24T17:44:54 EST,2018-05-24T17:45:37 EST
"Visitor: Initial Dialog

 Bot: Hi. How can I help you today? Are you looking for a job or looking to hire?
 Hire
 Look for a job

 Visitor: CandidateMenuIntent

 Bot: OK. I can help you:
 Search open jobs
 Submit a resume
 Find employment FAQs
 Other

 Visitor: Search Jobs

 Bot: I need a little information to find the best open jobs for you.

Please enter a job title, skills, or other keywords.

 Visitor: #session_closed

",u-ec257090-aea4-53b6-926c-6d738639cef7,2018-05-24T17:45:06 EST,2018-05-24T17:45:35 EST
"Visitor: Initial Dialog

 Bot: Hi. How can I help you today? Are you looking for a job or looking to hire?
 Hire
 Look for a job

 Visitor: #session_closed

",u-c3416853-599f-5be7-b789-e7d75bd14023,2018-05-24T17:47:25 EST,2018-05-24T17:47:42 EST
"Visitor: Initial Dialog

 Bot: Hi. How can I help you today? Are you looking for a job or looking to hire?
 Hire
 Look for a job

 Visitor: looking for a job

 Bot: I need a little information to find the best open jobs for you.

Please enter a job title, skills, or other keywords.

 Visitor: data entry 6,000 key strokes per hour 60 WMP over 10 years data entry

 Bot: What's the location you’d like to work in? Please provide ZIP code or city and state (Example: New York, NY).

 Visitor: new york city

 
 Visitor: JOBSEARCH_MATCHFOUND_YES

 Bot: I found some jobs in your area. Click the Read More link for a specific position to apply.

 Visitor: thank you

 Bot: You're welcome.

 Visitor: #session_closed

",u-c24874ef-6dfe-59a7-bdfd-0137058289c6,2018-05-24T16:50:23 EST,2018-05-24T16:51:55 EST
